RowNames,p4075,p4076,p4077,p4078,p4079,p4080
DH1251,1.37,1.5,1.35,1.14,1.05,1.25
DH1267,1.16,1.44,1.33,1.1,1.01,1.31
DH1283,0.82,0.8,0.9,0.86,0.73,0.82
DH1297,1.13,1.06,0.96,1.09,1.01,1.25
DH1313,1.44,1.56,1.63,1.14,1.12,1.18
DH1327,1.05,1.06,1.58,0.99,0.99,1.31
DH1343,0.87,0.69,1.24,0.84,0.78,1.1
DH1359,0.91,1.39,1.15,0.94,0.97,1.2
DH1389,1.11,1.2,1.03,0.99,0.99,1.03
DH1387,0.98,1,1.18,1.07,1.14,1.27
DH1237,1.22,1.26,1.15,1.01,0.88,1.12
DH1253,1.17,0.94,1.22,1.58,1.38,1.76
DH1269,1.26,1.17,1.49,1.21,1.21,1.43
DH1285,1.19,1.44,1.56,1.39,0.92,1.37
DH1315,0.88,1.27,1.14,0.96,0.85,0.93
DH1329,1.02,1.13,1.1,1.16,0.99,1.11
DH1345,1.38,1.5,1.25,1.24,1,1.44
DH1361,0.93,1.07,1.02,0.96,1.03,1.04
DH1375,0.98,1.05,1.12,1.11,1.03,1.14
DH1223,1.04,1.66,1.61,0.89,0.66,0.87
DH1239,1.22,1.17,1.31,0.97,1.18,1.33
DH1255,1.44,1.55,1.4,1.15,1.2,1.1
DH1271,1.02,1.57,1.34,0.92,0.85,0.97
DH1287,1.14,1.14,1.3,1.03,1,1.27
DH1301,1.55,0.96,0.64,0.92,1.22,1.34
DH1331,1.4,0.71,1.14,1.01,1.11,0.99
DH1347,1.2,1.14,0.94,1,0.97,0.95
DH1363,1.22,1.27,1.07,1.13,1.12,0.98
PR1685,0.7,1.11,1.9,1.06,0.72,1.04
PR1701,1.19,1.18,1,0.94,1.06,1.24
PR1715,0.68,0.79,0.86,0.7,0.76,0.7
PR1727,1.29,1.35,1.31,1.2,1.17,1.15
DH0957,0.76,0.85,0.88,0.83,0.82,0.84
PR1675,0.91,1.13,1.12,0.93,0.96,1.04
DH0913,1.02,1.09,1.29,1.17,1.4,1.54
DH0929,1.15,1.14,1.59,1.3,1.2,1.13
DH0945,1.04,1.26,1.21,0.9,0.9,1.36
DH0981,0.98,1.07,1.09,1.19,1.19,1.22
DH0995,1.05,0.91,0.87,0.88,0.83,0.86
PR1667,0.98,1.14,1.02,0.96,1.08,1.37
PR1687,1.1,0.68,1.09,1.03,1.04,1.25
PR1703,0.97,1.28,1.09,0.93,0.85,1.1
PR1717,1,1.35,1.13,0.91,0.76,1.16
PR1731,1.35,1.04,0.84,1.07,1.08,1.32
DH0959,1.06,1.35,1.04,0.98,0.93,1.05
PR1677,1.26,1.06,1.16,1.06,1.07,1.35
DH0915,0.9,1.05,1.18,0.85,0.82,0.91
DH0931,0.96,1.12,1.06,0.8,0.81,1.13
DH0947,1.07,0.92,1.16,1.06,1.03,1.03
DH0983,1.14,0.87,0.78,1.08,0.98,1.29
DH0997,1.09,1.47,1.49,1.03,1.02,1.37
PR1689,1.11,1.28,1.55,1.03,0.9,0.96
PR1705,1.08,1.67,1.32,1.02,0.96,1.19
PR1719,0.95,1.15,1.04,1.1,0.85,1.12
PR1733,0.99,1.17,0.93,0.97,0.95,1.01
DH0961,0.96,1.31,1.15,1.02,1,1.17
PR1679,1.18,1.01,1.13,0.87,0.94,1.16
DH0917,0.89,1.18,1.23,0.96,1.03,1
DH0933,1.12,1.06,1.32,1.2,1.08,1.34
DH0949,0.98,1.09,0.97,0.79,1.25,0.91
DH0985,1.33,1.29,1.25,1.13,1.01,1.39
DH0999,0.91,1.01,0.97,0.95,0.91,0.98
PR1669,1.1,1.35,1.36,1.05,0.97,1.21
PR1691,1,1.03,1.22,1.07,0.93,1.01
PR1707,1.02,1.29,1.51,0.9,0.98,1
PR1721,0.92,1.38,1.32,0.91,0.89,0.89
PR1735,1.03,1.06,1.1,0.88,0.97,1.23
DH0963,0.98,1.14,1.05,1.1,0.97,1.15
PR1681,0.98,1.2,1.02,0.98,1.01,1.06
DH0919,1.32,1.18,1.39,1.14,1.08,1.26
DH0935,0.86,1.03,1.39,0.95,1.03,0.93
DH0951,1.03,0.83,1.1,0.96,1.06,1.15
DH0987,1.48,1.13,0.68,0.99,1.2,0.86
DH1001,1.08,1.23,1.09,0.9,0.97,0.99
PR1671,1.71,0.93,0.89,1.06,0.85,1.09
PR1693,1.12,1.07,1.01,1.06,0.9,0.96
PR1709,1.28,1.27,1.38,1.18,1.16,1.39
PR1723,0.99,1.12,0.9,0.86,1.02,1.08
PR1737,0.89,1.16,1.34,0.92,0.78,1.14
DH0965,1.06,1.26,1.04,0.99,0.8,0.87
DH0905,1.18,0.95,1.08,1.06,1.02,1.03
DH0921,0.93,0.99,1.62,0.95,0.86,1.04
DH0937,0.96,0.84,1,0.98,1.16,1.15
DH0973,1.06,1.35,1.11,1.02,1.11,1.03
DH0989,1.28,1.11,1.13,1.11,1.11,1.27
DH1003,1.07,1.06,1.19,1.1,1.03,1.1
PR1673,1.09,1.57,1,0.82,0.92,0.85
PR1695,1.47,0.98,1.19,1.54,1.37,1.63
PR1711,1.02,0.98,0.96,0.89,0.85,0.93
PR1739,0.92,0.98,0.95,0.75,0.73,0.92
DH0967,0.93,1.28,1.12,0.91,0.93,0.94
DH0923,0.95,0.95,1.15,0.88,1.11,1.05
DH0939,1.06,1.19,1.22,0.94,1.04,0.99
DH0975,1.22,1.02,1.36,1.12,1.27,1.31
DH0991,1.14,1.12,1.08,1.02,1.08,1.23
PR1683,0.88,1.25,1.62,0.85,0.76,0.96
PR1697,1.06,0.82,0.95,1.12,0.99,1.04
PR1729,1.13,1.28,1.04,0.93,1.04,0.93
DH0953,0.78,1.22,1.11,0.91,0.89,0.93
DH0969,0.94,1.33,0.85,1,0.94,0.94
DH0909,1.02,1.19,1.21,1.14,1.09,1.13
DH0925,0.96,1.18,0.94,0.88,0.85,0.98
DH0941,1.44,1.31,1.26,1.32,1.48,1.71
DH0977,0.91,1.07,0.77,1.05,1.09,1.35
DH0993,0.75,1.11,0.98,0.92,0.97,1.06
PR1699,1.12,1.22,0.69,1.25,1.19,1.28
PR1713,1.1,0.96,1.09,1.08,0.91,1.04
PR1725,0.96,1.04,1.39,0.95,1.01,0.95
DH0955,1.27,1.55,1.35,1.07,1.03,1.45
DH0971,1.06,1.33,1.29,1.01,0.85,1.09
DH0911,1.06,1.07,0.88,0.97,1.05,1.32
DH0927,0.83,0.99,0.93,0.81,0.74,0.73
DH0943,0.93,1.1,1.03,1.05,0.91,1.2
DH0979,0.79,1.04,0.92,1.04,0.95,1.14
DH0735,1.01,0.94,0.99,0.91,1.19,1.35
DH0751,1.12,1.08,1.14,0.86,0.86,1.13
DH0767,1,1.25,1.13,0.91,0.82,1
DH0783,0.93,1.43,1.12,0.94,0.96,1.03
DH0799,0.89,1.12,1.05,0.99,0.84,1.11
DH0815,1.13,1.03,0.9,0.93,1.04,1.07
DH0831,1.09,1.78,1.45,0.95,1.1,1.43
DH0847,1.15,1.12,1.22,0.85,0.84,0.95
DH0863,0.95,1.13,1.01,0.99,0.82,1.03
DH0879,0.79,1,0.86,0.74,0.77,0.87
DH0893,1.24,1.09,1.05,1.15,0.85,1.14
DH0721,1.17,1.05,1.27,1.08,1.13,1.18
DH0737,1.09,1.27,1.46,1.05,0.98,1.07
DH0753,1,1.11,1.28,0.95,1.06,0.94
DH0769,1.13,1.14,1.51,1.04,1.1,1.17
DH0785,1.22,0.8,1.06,1.16,1.09,1.32
DH0801,1.08,0.98,1.01,1.04,0.94,1.12
DH0817,1.26,0.96,0.95,1.07,0.94,1.17
DH0833,0.81,1.08,1.13,0.99,1,1.18
DH0849,0.74,0.96,1,1.06,0.9,1.04
DH0865,0.98,1.18,1.09,1.07,1.03,1.25
DH0881,0.89,1.14,0.86,0.95,0.92,1.16
DH0895,0.99,1.08,0.87,1.07,1.05,1.48
DH0723,1.19,1.22,1.38,0.98,0.98,1.1
DH0739,0.84,0.7,0.79,0.88,0.76,0.78
DH0755,1,1.08,1.55,1.03,0.84,0.94
DH0771,0.74,1.08,1.11,0.66,0.87,0.87
DH0787,0.99,1.21,1.19,0.95,1.1,1.02
DH0803,0.77,0.67,0.74,0.76,0.74,0.82
DH0819,0.81,0.84,0.69,1.08,0.84,1.01
DH0835,1.09,1.06,1.02,1.05,1.01,1.34
DH0867,0.8,0.85,0.89,1.14,0.98,1.17
DH0883,1.05,0.86,1.05,0.98,1.12,1.09
DH0897,1.02,0.97,1.05,1.08,0.96,1.16
DH0725,1,1.37,1.7,1.16,1.15,1.36
DH0741,1.14,1.57,1.66,1.04,0.98,1.08
DH0757,0.97,1.2,1.06,0.93,0.93,1.28
DH0773,0.85,1.22,1.19,0.91,1.02,1.1
DH0789,0.97,0.93,0.91,1.04,0.82,1.06
DH0805,1.14,0.72,1.18,0.91,1.04,1.13
DH0821,1.07,0.88,0.84,0.93,0.98,1.12
DH0837,1.32,1.16,0.8,1.13,1.03,1.29
DH0853,0.99,0.96,1,1.08,1.05,1.18
DH0869,1.02,1.06,1.25,1.12,0.91,1.35
DH0885,1,0.97,0.99,1.19,1.12,1.41
DH0899,0.88,1.08,1.07,0.99,0.94,0.93
DH0743,0.78,1.16,1.21,0.99,0.86,0.99
DH0759,0.97,1.16,1.16,0.95,0.94,0.95
DH0775,0.92,1.26,1.31,0.89,0.93,1.01
DH0791,1.1,0.92,1.04,1.05,1.1,1.13
DH0807,0.98,0.99,1.11,0.9,0.93,1.02
DH0823,0.93,0.87,1.07,0.98,1.03,1.22
DH0839,1.01,1.1,0.91,0.98,1.06,1.25
DH0855,0.96,0.98,0.98,1.07,1.08,1.11
DH0871,0.78,0.81,0.8,0.94,0.85,0.81
DH0887,1.31,1.21,1.37,1.17,1.06,1.47
DH0901,1.14,1.18,0.96,0.93,0.92,1.16
DH0722,,,,,,
DH0727,0.87,1.01,1,0.99,0.89,1.19
DH0745,0.97,1.21,1.19,1.01,1.06,1.09
DH0761,0.82,0.92,1.09,0.76,0.83,0.76
DH0777,1.25,1.51,1.53,1.28,1.1,1.08
DH0793,1,1.27,1.27,0.91,0.79,0.9
DH0809,1.16,1,1.23,1.06,0.97,1.19
DH0825,1.15,1.11,0.97,1.15,1.18,1.2
DH0841,0.96,1.05,1.02,0.92,0.95,1.07
DH0857,0.97,1.05,1.01,1.08,1.01,1.09
DH0873,1.07,1.14,0.97,0.92,1.09,1.16
DH0889,0.96,1.09,1.15,1.05,0.93,0.96
DH0903,0.92,1.09,1.22,1.05,1.06,1.11
DH0731,1.25,0.92,1.3,1.16,1,1.41
DH0747,0.81,0.84,0.81,0.95,0.85,0.92
DH0763,0.98,1.35,1.74,1.02,1.09,1.31
DH0779,1.05,1.17,1.52,1.21,1.33,1.27
DH0795,0.92,1.05,1.48,0.88,0.94,1.05
DH0811,1,0.97,1.25,1.03,1.03,1.35
DH0827,1.18,0.94,1.04,1.05,1.15,1.22
DH0843,1.47,1.18,1.49,1.19,1.08,1.28
DH0859,1.05,0.92,1.16,0.93,1.01,1.26
DH0875,0.93,1.03,0.84,1.07,0.96,1.29
DH0891,0.9,1.02,0.89,0.99,1.11,1.07
DH0733,0.81,0.88,1.11,0.74,0.75,1.13
DH0749,1.08,1.39,1.04,0.98,0.87,1.09
DH0765,0.79,0.83,0.95,0.95,0.84,0.79
DH0781,1.1,1.42,1.6,0.85,1.13,1.39
DH0797,1.43,1.06,1.55,1.17,1.27,1.56
DH0813,0.99,0.9,0.93,0.94,0.9,0.92
DH0829,1.03,0.76,0.97,1.01,1.13,1.15
DH0845,1.54,1.8,1.54,1.23,1.33,1.62
DH0861,0.99,1.12,1.08,1.02,0.89,1.12
DH0877,1.36,1.27,1.6,1.19,1.27,1.42
JL0735,0.86,1.3,1.42,0.91,0.77,0.9
JL0769,1.12,1.15,1.55,1.11,1.32,1.2
JL0801,0.78,1.08,0.99,0.71,0.67,0.92
JL0833,0.88,0.83,0.76,0.85,0.84,0.83
JL0865,1.21,0.8,1.16,1.23,1.34,1.22
BA0277,1.05,0.78,1,1.03,1.02,1.02
BA0291,1.36,1.19,1.3,1.22,1.19,1.82
BA0321,0.98,1.05,1.14,1.02,1.07,1.2
BA0353,0.88,0.99,0.98,0.94,0.94,1.13
BA0379,1.04,1.04,1.05,1.08,1.05,1.27
JL0713,1.26,0.86,1.24,1.01,1.13,0.92
JL0737,0.75,0.68,0.7,0.95,0.83,0.77
JL0771,1.13,0.9,1.18,1,0.89,0.99
JL0803,1.04,1.13,1.17,1,0.98,0.96
JL0835,1.1,0.85,1.31,1.01,1.15,1.13
JL0867,1.16,0.97,1.18,0.95,1.07,1.23
BA0227,1.14,1.11,0.84,1.14,0.9,1.02
BA0279,0.88,0.65,0.92,0.97,0.91,0.8
BA0293,1.04,0.89,1.04,0.99,1.01,0.95
BA0323,0.99,0.94,1.12,1.04,0.72,0.82
BA0355,1,1.12,1.19,1.07,1.04,1.05
BA0381,1.16,1.16,1.13,1.07,1.04,1.31
JL0715,1.18,1.12,1.19,1.06,1.03,0.99
JL0743,1.11,1.21,1.1,1.17,1.07,1.02
JL0773,1.23,1.03,1.23,0.97,1.01,0.93
JL0805,0.87,1.1,1.16,0.85,1.15,0.84
JL0837,1.09,1.03,1,1.07,1.06,1.22
JL0869,0.64,0.66,0.73,0.92,0.75,0.77
BA0229,1,1.13,1.55,1.08,0.83,1.76
BA0281,0.81,0.73,0.67,0.87,0.79,0.86
BA0295,1.02,0.83,1,0.98,1.1,0.71
BA0325,1.25,1.11,1.09,1.19,1,1.06
BA0357,1.24,1.32,1.32,1.28,1.1,1.29
BA0383,1.17,1.33,1.37,1.23,1.22,1.54
KP0003,1.09,1.28,1.11,0.91,0.86,1.27
JL0745,1.13,1.31,1.13,1.01,0.94,1.08
JL0775,1.14,1.25,1.07,1.2,1.12,1.39
JL0776,,,,,,
JL0807,1.27,1.01,0.72,0.96,1.16,0.82
JL0839,1.08,0.97,1.07,0.92,1.16,1.09
JL0871,0.84,0.87,1.12,0.96,0.84,1.19
BA0267,1.14,0.98,1.11,1.16,0.94,1.43
BA0283,0.91,0.82,1.01,0.91,0.92,0.95
BA0297,1.01,1.07,1.27,1.03,0.97,0.82
BA0327,1.44,1.17,0.97,1.06,0.93,1.29
BA0359,0.71,0.96,1.01,0.87,1.01,0.95
JL0721,1.01,1.08,1.03,1.07,0.83,1.05
JL0751,0.95,1.12,1.12,0.92,0.89,1.25
JL0785,1.02,1.07,1.14,0.96,0.98,1.26
JL0817,1.68,1.16,1.27,1.1,1.51,1.59
JL0849,0.9,1.15,1.22,0.95,1.03,1.13
JL0881,0.44,0.84,2.21,1.15,0.7,1.42
BA0269,1.12,1.07,1.17,1.11,1.18,1.28
BA0285,1.05,1.01,1.1,1.07,0.98,1.54
BA0307,1.23,1.01,0.74,0.85,1.08,0.92
BA0337,1.17,1.15,1.23,1.14,1.16,1.41
BA0367,1.03,0.97,1.27,0.96,0.92,1.06
JL0723,1.24,1.18,1.18,0.9,1.06,1.21
JL0753,1,1.04,1.3,1.01,0.95,1.08
